date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-06-02,atrium-scout,claude-opus-4-8,2096,13023,917140,30897
2026-06-02,atrium-scout,claude-opus-4-8,6826,32360,3754446,73039
2026-06-02,atrium-scout,claude-opus-4-8,2231,12327,1210302,33607
2026-06-02,atrium-scout,claude-opus-4-8,2080,9015,716256,31977
2026-06-02,atrium-scout,claude-opus-4-8,1802,7816,292676,27234
2026-06-03,atrium-scout,claude-opus-4-8,2082,10957,746841,32913
2026-06-03,atrium-scout,claude-opus-4-8,2233,15838,1350636,40437
2026-06-03,heartbeat,claude-opus-4-8,1808,8099,536158,38510
2026-06-04,atrium-scout,claude-opus-4-8,2084,9467,837290,37804
2026-06-04,atrium-scout,claude-opus-4-8,2227,14195,1137519,34261
